pl_name,hostname,sy_dist,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_spectype,st_teff,st_mass,disc_year
"HD 168746 b","HD 168746",41.56810000,11.10000000,85.81410000,6.40400000000,900.00,"G5",5570.00,1.070000,2002
"HD 205739 b","HD 205739",92.50870000,13.60000000,435.41000000,279.80000000000,,"F7 V",6176.00,1.220000,2008
"HD 224693 b","HD 224693",93.50150000,14.00000000,222.48100000,26.69040000000,,"G2 V",5894.00,1.310000,2006
"HD 156279 b","HD 156279",36.19450000,12.50000000,2997.75753482,133.40355000000,,"G6",5453.00,0.940000,2011
"HD 12661 b","HD 12661",37.84780000,13.30000000,772.32690000,262.70862000000,,"K0",5645.00,1.200000,2000
"HD 16417 b","HD 16417",25.39360000,5.00000000,22.10000000,17.24000000000,,"G1 V",5841.00,1.200000,2008
"HD 19994 b","HD 19994",22.52420000,13.60000000,435.41000000,466.20000000000,,"F8 V",6188.00,1.365000,2003
"HD 156279 c","HD 156279",36.19450000,12.50000000,3098.82696825,4818.25358000000,,"G6",5453.00,0.940000,2018
"GJ 179 b","GJ 179",12.35600000,13.80000000,301.93698665,2288.00000000000,,"M3.5 V",3370.00,0.357000,2009
"GJ 832 b","GJ 832",4.96435000,13.80000000,314.65012293,3853.00000000000,,"M2/3 V",3472.00,0.450000,2008
"HD 37605 b","HD 37605",46.78640000,13.20000000,854.96270000,55.01292000000,,"K0",5329.00,0.940000,2004
"HD 33283 b","HD 33283",89.86230000,12.50000000,104.56607000,18.19910000000,,"G3/G5 V",5935.00,1.380000,2006
"HD 9446 b","HD 9446",50.35030000,14.00000000,222.47200000,30.05200000000,,"G5 V",5793.00,1.000000,2009
"HD 134987 c","HD 134987",26.18040000,13.90000000,260.00000000,5000.00000000000,,"G5 V",5585.00,1.100000,2009
"HD 79498 b","HD 79498",48.94890000,13.60000000,425.89220000,1807.00000000000,,"G5",5748.00,1.080000,2011
"HD 45652 b","HD 45652",34.85410000,14.30000000,137.62039000,44.07300000000,,"G8/K0",5294.00,0.920000,2008
"HIP 79431 b","HIP 79431",14.53240000,13.40000000,667.41500000,111.70000000000,,"M3 V",3191.00,0.490000,2009
"HD 3167 b","HD 3167",47.28990000,1.67000000,4.97000000,0.95964100000,1774.00,"K0 V",5261.00,0.837000,2016
"GJ 876 b","GJ 876",4.67517000,13.30000000,723.22350000,61.11660000000,,"M2.5V",3293.74,0.320000,1998
"HD 114783 c","HD 114783",21.06280000,13.40000000,603.87397330,4352.00000000000,,"K1 V",5135.00,0.900000,2018
"HD 47186 c","HD 47186",37.45740000,13.00000000,111.42000000,1353.60000000000,,"G6 V",5657.00,0.960000,2008
"HD 114783 b","HD 114783",21.06280000,13.70000000,349.60000000,493.70000000000,,"K0",5135.00,0.853000,2001
